Дата,Цена Bitcoin,Цена Ethereum
2017-05-22,2124.4,154.92
2017-05-23,2272.6,168.24
2017-05-24,2445.3,183.88
2017-05-25,2307.2,168.71
2017-05-26,2244.9,152.8
2017-05-27,2052.4,149.99
2017-05-28,2189.0,161.91
2017-05-29,2278.2,189.99
2017-05-30,2192.6,224.69
2017-05-31,2303.3,218.34
2017-06-01,2412.6,211.4
2017-06-02,2492.6,214.77
2017-06-03,2545.4,217.01
2017-06-04,2524.1,241.06
2017-06-05,2705.0,242.16
2017-06-06,2870.5,261.89
2017-06-07,2691.5,250.7
2017-06-08,2798.8,256.95
2017-06-09,2811.4,278.41
2017-06-10,2900.3,325.88
2017-06-11,2973.4,336.33
2017-06-12,2656.8,386.9
2017-06-13,2713.0,382.7
2017-06-14,2467.3,335.95
2017-06-15,2442.5,338.7
2017-06-16,2508.6,348.44
2017-06-17,2655.1,364.56
2017-06-18,2539.6,348.88
2017-06-19,2616.8,355.5
2017-06-20,2754.4,344.15
2017-06-21,2677.6,321.66
2017-06-22,2722.8,320.94
2017-06-23,2710.4,324.37
2017-06-24,2590.1,296.89
2017-06-25,2541.6,277.0
2017-06-26,2446.1,251.3
2017-06-27,2583.8,279.0
2017-06-28,2577.7,311.62
2017-06-29,2558.4,285.3
2017-06-30,2480.6,275.62
2017-07-01,2424.6,255.0
2017-07-02,2536.5,277.64
2017-07-03,2572.5,273.99
2017-07-04,2617.3,266.68
2017-07-05,2627.9,264.77
2017-07-06,2614.2,265.35
2017-07-07,2513.9,238.38
2017-07-08,2564.9,245.23
2017-07-09,2511.4,234.97
2017-07-10,2344.0,202.0
2017-07-11,2324.3,188.63
2017-07-12,2403.1,223.92
2017-07-13,2362.4,205.0
2017-07-14,2234.2,196.49
2017-07-15,1975.1,170.15
2017-07-16,1914.1,157.4
2017-07-17,2233.4,190.16
2017-07-18,2320.2,226.56
2017-07-19,2282.6,194.63
2017-07-20,2866.0,227.29
2017-07-21,2675.1,216.11
2017-07-22,2836.5,232.01
2017-07-23,2756.6,228.15
2017-07-24,2763.4,226.59
2017-07-25,2582.6,202.7
2017-07-26,2559.2,203.33
2017-07-27,2691.9,202.54
2017-07-28,2806.8,191.2
2017-07-29,2733.5,206.76
2017-07-30,2766.5,195.31
2017-07-31,2883.3,200.81
2017-08-01,2747.0,225.97
2017-08-02,2720.5,218.0
2017-08-03,2810.0,224.79
2017-08-04,2878.5,220.73
2017-08-05,3262.8,253.87
2017-08-06,3232.0,264.29
2017-08-07,3401.9,269.51
2017-08-08,3429.4,295.83
2017-08-09,3348.8,293.99
2017-08-10,3425.7,295.97
2017-08-11,3654.4,308.81
2017-08-12,3871.6,307.22
2017-08-13,4062.6,296.64
2017-08-14,4327.9,298.22
2017-08-15,4161.7,286.0
2017-08-16,4387.4,301.34
2017-08-17,4278.9,299.0
2017-08-18,4105.4,292.0
2017-08-19,4150.5,292.78
2017-08-20,4066.6,298.37
2017-08-21,4005.1,322.24
2017-08-22,4089.7,312.54
2017-08-23,4141.1,316.5
2017-08-24,4318.4,325.62
2017-08-25,4364.4,328.7
2017-08-26,4352.3,332.72
2017-08-27,4345.8,348.01
2017-08-28,4390.3,347.09
2017-08-29,4597.3,372.0
2017-08-30,4583.0,382.78
2017-08-31,4735.1,387.3
2017-09-01,4921.9,390.35
2017-09-02,4573.8,345.0
2017-09-03,4612.9,350.63
2017-09-04,4267.5,295.81
2017-09-05,4409.1,316.18
2017-09-06,4618.7,337.36
2017-09-07,4635.6,334.1
2017-09-08,4326.5,304.0
2017-09-09,4335.1,303.08
2017-09-10,4245.9,297.9
2017-09-11,4217.9,297.19
2017-09-12,4158.9,293.9
2017-09-13,3870.3,275.48
2017-09-14,3243.1,222.5
2017-09-15,3713.8,258.68
2017-09-16,3698.9,253.0
2017-09-17,3689.6,257.0
2017-09-18,4100.3,296.81
2017-09-19,3908.0,282.63
2017-09-20,3882.2,283.5
2017-09-21,3617.3,256.67
2017-09-22,3600.8,262.19
2017-09-23,3788.0,285.9
2017-09-24,3667.5,282.0
2017-09-25,3932.8,295.2
2017-09-26,3892.7,289.28
2017-09-27,4212.2,309.75
2017-09-28,4195.6,302.63
2017-09-29,4172.8,292.66
2017-09-30,4360.6,303.44
2017-10-01,4403.1,304.26
2017-10-02,4401.3,296.82
2017-10-03,4314.2,291.69
2017-10-04,4218.7,291.4
2017-10-05,4321.4,295.12
2017-10-06,4371.9,308.43
2017-10-07,4435.8,311.46
2017-10-08,4611.7,309.82
2017-10-09,4777.5,297.4
2017-10-10,4763.4,299.32
2017-10-11,4824.2,303.2
2017-10-12,5432.6,303.06
2017-10-13,5637.3,337.46
2017-10-14,5824.7,339.24
2017-10-15,5688.1,337.23
2017-10-16,5759.3,334.46
2017-10-17,5598.6,315.65
2017-10-18,5575.8,313.45
2017-10-19,5698.6,306.97
2017-10-20,5993.1,302.61
2017-10-21,6006.6,299.23
2017-10-22,5982.9,293.55
2017-10-23,5903.6,284.85
2017-10-24,5513.1,296.3
2017-10-25,5734.0,295.46
2017-10-26,5887.6,295.1
2017-10-27,5764.6,295.99
2017-10-28,5726.6,293.49
2017-10-29,6147.5,304.39
2017-10-30,6124.3,307.0
2017-10-31,6451.2,303.69
2017-11-01,6737.8,288.6
2017-11-02,7024.8,284.89
2017-11-03,7152.1,303.47
2017-11-04,7363.8,299.48
2017-11-05,7389.5,295.63
2017-11-06,6959.2,296.9
2017-11-07,7102.8,291.42
2017-11-08,7444.4,307.5
2017-11-09,7129.6,319.52
2017-11-10,6565.8,296.18
2017-11-11,6339.9,313.07
2017-11-12,5878.1,303.9
2017-11-13,6522.5,313.22
2017-11-14,6597.1,334.28
2017-11-15,7283.2,330.59
2017-11-16,7853.7,330.76
2017-11-17,7700.0,331.0
2017-11-18,7780.9,346.68
2017-11-19,8042.6,354.7
2017-11-20,8244.7,367.94
2017-11-21,8100.0,360.0
2017-11-22,8234.5,380.48
2017-11-23,8013.4,405.19
2017-11-24,8200.8,470.51
2017-11-25,8754.7,464.0
2017-11-26,9318.4,464.0
2017-11-27,9733.2,473.44
2017-11-28,9906.0,465.56
2017-11-29,9837.9,420.34
2017-11-30,9946.8,432.21
2017-12-01,10861.5,460.67
2017-12-02,10912.7,455.51
2017-12-03,11246.2,459.49
2017-12-04,11623.9,465.0
2017-12-05,11667.1,451.87
2017-12-06,13749.6,413.71
2017-12-07,16850.3,415.02
2017-12-08,16047.6,442.19
2017-12-09,14843.4,460.92
2017-12-10,15059.6,429.24
2017-12-11,16732.5,515.25
2017-12-12,17083.9,634.87
2017-12-13,16286.8,690.69
2017-12-14,16467.9,686.51
2017-12-15,17604.8,678.29
2017-12-16,19345.5,683.25
2017-12-17,19065.7,708.78
2017-12-18,18972.3,783.99
2017-12-19,17523.7,799.98
2017-12-20,16462.0,794.99
2017-12-21,15632.1,786.97
2017-12-22,13665.0,628.19
2017-12-23,14396.5,672.59
2017-12-24,13790.0,659.89
2017-12-25,13833.5,709.81
2017-12-26,15756.6,749.8
2017-12-27,15416.6,736.45
2017-12-28,14398.7,711.42
2017-12-29,14392.6,731.52
2017-12-30,12531.5,682.22
2017-12-31,13850.4,736.77
2018-01-01,13444.9,752.46
2018-01-02,14754.1,858.78
2018-01-03,15156.6,942.01
2018-01-04,15180.1,940.0
2018-01-05,16954.8,962.77
2018-01-06,17172.3,1004.3
2018-01-07,16228.2,1115.8
2018-01-08,14976.2,1129.3
2018-01-09,14778.5,1283.7
2018-01-10,15043.0,1248.0
2018-01-11,13535.4,1135.5
2018-01-12,13886.7,1257.2
2018-01-13,14292.2,1380.0
2018-01-14,13695.2,1350.0
2018-01-15,13697.5,1273.4
2018-01-16,11362.0,1020.1
2018-01-17,11192.3,1017.5
2018-01-18,11245.4,994.81
2018-01-19,11580.2,1032.6
2018-01-20,12858.9,1146.0
2018-01-21,11594.9,1047.0
2018-01-22,10864.8,995.08
2018-01-23,10903.2,982.98
2018-01-24,11452.3,1063.2
2018-01-25,11203.0,1048.2
2018-01-26,11118.1,1047.0
2018-01-27,11467.5,1114.8
2018-01-28,11795.1,1246.6
2018-01-29,11244.8,1175.0
2018-01-30,10166.0,1071.9
2018-01-31,10265.4,1118.08
2018-02-01,9181.1,1033.55
2018-02-02,8893.2,920.85
2018-02-03,9241.1,971.49
2018-02-04,8222.2,829.43
2018-02-05,6938.5,696.86
2018-02-06,7701.2,783.83
2018-02-07,7594.7,753.18
2018-02-08,8164.2,805.4
2018-02-09,8699.8,877.85
2018-02-10,8559.6,851.39
2018-02-11,8081.9,810.45
2018-02-12,8903.5,865.62
2018-02-13,8539.2,841.38
2018-02-14,9476.3,919.67
2018-02-15,10037.3,927.56
2018-02-16,10178.7,937.5
2018-02-17,11073.5,971.54
2018-02-18,10398.8,913.1
2018-02-19,11169.4,940.08
2018-02-20,11238.7,884.51
2018-02-21,10473.0,839.1
2018-02-22,9841.7,803.66
2018-02-23,10170.4,856.65
2018-02-24,9704.3,834.36
2018-02-25,9585.2,840.88
2018-02-26,10285.1,866.99
2018-02-27,10594.4,871.44
2018-02-28,10333.9,852.49
2018-03-01,10904.5,870.04
2018-03-02,10827.7,856.09
2018-03-03,11402.3,855.91
2018-03-04,11416.5,865.53
2018-03-05,11330.6,850.24
2018-03-06,10675.1,814.88
2018-03-07,9902.9,749.98
2018-03-08,9300.0,698.96
2018-03-09,9217.0,725.89
